CPUID:,0x600F20
Processor:,AMD FX-8320 Eight-Core (Vishera) 
Platform:,Socket AM3+ (942 pin)
Revision:,OR-C0
Lithography:,32nm

Session start:,12:57:07 - November 13 - 2021

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),Core 6 Temp. (°),Core 7 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 6,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 7,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
13:00:47 11/13/21,20,20,20,20,20,20,20,20,,,11,31,22,2491.68,,11,31,9,2491.68,,11,31,8,2491.68,,11,31,16,2491.68,,11,31,6,2491.68,,11,31,0,2491.68,,11,31,0,2491.68,,11,31,0,2491.68,
13:00:57 11/13/21,20,20,20,20,20,20,20,20,,,11,31,28,3141.68,,11,31,31,3141.68,,11,31,31,3141.68,,11,31,15,3141.68,,11,31,40,3141.68,,11,31,38,3141.68,,11,31,0,3141.68,,11,31,0,3141.68,
13:01:07 11/13/21,12,12,12,12,12,12,12,12,,,11,31,6,1516.67,,11,31,8,1516.67,,11,31,2,1516.67,,11,31,2,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,,11,31,2,1516.67,
13:01:17 11/13/21,17,17,17,17,17,17,17,17,,,11,31,16,3141.68,,11,31,44,3141.68,,11,31,19,3141.68,,11,31,28,3141.68,,11,31,12,3141.68,,11,31,3,3141.68,,11,31,0,3141.68,,11,31,1,3141.68,
13:01:27 11/13/21,17,17,17,17,17,17,17,17,,,11,31,8,1516.67,,11,31,9,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,,11,31,3,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,
13:01:37 11/13/21,24,24,24,24,24,24,24,24,,,11,31,20,3141.68,,11,31,51,3141.68,,11,31,24,3141.68,,11,31,48,3141.68,,11,31,6,3141.68,,11,31,11,3141.68,,11,31,0,3141.68,,11,31,0,3141.68,
13:01:47 11/13/21,20,20,20,20,20,20,20,20,,,11,31,6,3141.68,,11,31,53,3141.68,,11,31,6,3141.68,,11,31,5,3141.68,,11,31,3,3141.68,,11,31,0,3141.68,,11,31,0,3141.68,,11,31,0,3141.68,
13:01:57 11/13/21,16,16,16,16,16,16,16,16,,,11,31,13,1516.67,,11,31,8,1516.67,,11,31,14,1516.67,,11,31,2,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,
13:02:07 11/13/21,15,15,15,15,15,15,15,15,,,11,31,3,1516.67,,11,31,32,1516.67,,11,31,15,1516.67,,11,31,6,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,
13:02:17 11/13/21,23,23,23,23,23,23,23,23,,,11,31,45,3141.68,,11,31,51,3141.68,,11,31,60,3141.68,,11,31,28,3141.68,,11,31,43,3141.68,,11,31,26,3141.68,,11,31,36,3141.68,,11,31,42,3141.68,
